Year,Average Rate,inflation adjusted,,,,,,,
1971,7.54%,152670.4198,,,,,,,
1972,7.38%,161409.7608,,,,,,,
1973,8.04%,179975.4955,,,,,,,
1974,9.19%,179240.8925,,,,,,,
1975,9.05%,178942.1561,,,,,,,
1976,8.87%,190517.2583,,,,,,,
1977,8.85%,197794.8515,,,,,,,
1978,9.64%,209968.589,,,,,,,
1979,11.20%,211863.3609,,,,,,,
1980,13.74%,192615.534,,,,,,,
1981,16.64%,185929.857,,,,,,,
1982,16.04%,175838.6736,,,,,,,
1983,13.24%,185501.2048,,,,,,,
1984,13.88%,188617.3628,,,,,,,
1985,12.43%,191984.0892,,,,,,,
1986,10.19%,205813.5766,,,,,,,
1987,10.21%,225916.0563,,,,,,,
1988,10.34%,232532.4768,,,,,,,
1989,10.32%,238053.0323,,,,,,,
1990,10.13%,229366.3045,,,,,,,
1991,9.25%,215919.7651,,,,,,,
1992,8.39%,212055.8803,,,,,,,
1993,7.31%,214586.0208,,,,,,,
1994,8.38%,215720.4858,,,,,,,
1995,7.93%,214681.0499,,,,,,,
1996,7.81%,219108.2218,,,,,,,
1997,7.60%,221447.9751,,,,,,,
1998,6.94%,228465.3742,,,,,,,
1999,7.44%,235593.2773,,,,,,,
2000,8.05%,238500.9059,,,,R value,R squared,r squared fx,t value
2001,6.97%,239583.6928,,,,-0.705068015,0.497120906,0.50,1
2002,6.54%,253465.5253,,,,,,,
2003,5.83%,255943.913,,,,,,,
2004,5.84%,283075.3203,,,,,,,
2005,5.87%,296892.6575,,,,,,,
2006,6.41%,296369.0476,,,,,,,
2007,6.34%,289580.2298,,,,,,,
2008,6.03%,261340.0464,,,,,,,
2009,5.04%,246391.662,,,,,,,
2010,4.69%,250340.3896,,,,,,,
2011,4.45%,245077.501,,,,,,,
2012,3.66%,260927.2368,,,,,,,
2013,3.98%,280124.9673,,,,,,,
2014,4.17%,295895.7151,,,,,,,
2015,3.85%,304206.2299,,,,,,,
2016,3.65%,311625.2443,,,,,,,
2017,3.99%,322425,,,,,,,